id,country,description,Fruity Favour,Spicy Favour,Earthy Favour,Floral Favour,Oaky Favour,Nutty Favour,Herbal Favour,Mineral Favour,Sweet Favour,Body (Weight/Texture),Acidity,Sweetness Level,Alcohol Level (Perception),Ageability,Food Pairing / Occasions,Tannins,Region/Terroir,Color,Finish,Aging Method,Climate Characteristics,Intensity/Aroma,Style,Unique/Standout Notes
87131,US,"Very good Dry Creek Zin, robust and dry and spicy. Really gets the tastebuds watering, with its tart flavors of sour cherry candy, red currants, blueberries, tart raisins and oodles of peppery spices. Drink this lusty wine with barbecue.",berry,pepper,,,,,,,,full-bodied,high acidity,dry,medium,ready to drink,barbecue,medium tannins,,,,,warm climate,intense,,zesty
57952,France,"A very herbaceous character makes this wine seem rather thin. It's soft and lightweight, and the lemon zest character is mildly attractive. Ready to drink.",citrus,,,,,,,,,light-bodied,low acidity,dry,light,ready to drink,,low tannins,,,,,cool climate,subtle,,zesty
96046,US,"A little simple and easy, but there's a wealth of raspberry, strawberry and floral notes in this delicate wine. It's a bit too sweet for my tastes, although it does have good acidity.",berry,,,,,,,,,light-bodied,medium acidity,sweet,medium,ready to drink,dessert pairing,,,,,,cool climate,subtle,,perfumed
31920,US,"From a dry-farmed vineyard and treated to wild yeast and minimal new French oak, this Petite is chewy in leathery tannins, a definite crowd pleaser for Petite fans. Blackberries, coffee and pepper commingle impressively.",berry,pepper,leather,,toast,,,,,tannic,,dry,,needs aging,dinner,chewy,,,,oak barrel,,pronounced,natural,
6091,US,"From a site near Annapolis, this wine shows a preponderance of dark grape and cherry flavor interwoven with cinnamon and black peppercorn. Light-bodied and ethereally layered, it has touches of rustic earthiness and leather.",,cinnamon,leather,,,,,,,light-bodied,,,light,needs aging,dinner,,coastal,,,,,subtle,traditional,
101129,US,"A mix of Cabernet, Cab Franc and Syrah, this out-of-the-ordinary blend is a little funky and meaty, but still offers lots of juicy black fruit and a whole lot of toasted oak. If any one thing announces itself here it's the wood, which keeps everything austere and maybe a touch overcharred.",berry,,,,toast,,,,,full-bodied,,dry,,needs aging,dinner,high tannins,,,,oak barrel,,pronounced,modern,meaty
53584,Italy,"Taurasi is a wine that flaunts a determined and powerful personality, and Fatica Contadina is no exception, thanks to its deep layers of spice, dark fruit, tobacco and cigar that it delivers to the senses. On the palate, it is austere and tightly structured.",,,,,,,,,,full-bodied,,dry,high,needs aging,dinner,high tannins,,deep,,,,intense,traditional,smoky
61538,US,"Sourced entirely from Walla Walla's Les Collines Vineyard, this lovely Syrah features pretty strawberry and cherry flavors that are broadly displayed with a rich vein of chocolate. It's forward and flavorful, drinking quite nicely already, but with the stuffing to cellar for a few more years.",berry,,,,,,,,,full-bodied,,,,needs aging,dinner,,,,,,,pronounced,,
61984,US,"There's a lot to like about this Viognier. It's dry and zesty in acidity, with complex flavors of citrus, peach, kumquat, white pepper, chamomile and honey.",peach,pepper,,honeysuckle,,,,,honey,,zesty,dry,,ready to drink,seafood pairing,,,golden,,,cool climate,pronounced,,zesty
16517,US,"A crisp, refreshing Sauvignon Blanc, fermented and aged in stainless steel. Shows rich, savory citrus and green grass flavors, with hints of minerals and flowers. Very drinkable and bone-dry.",citrus,,,,,,,,,light-bodied,high acidity,bone dry,light,ready to drink,aperitif,,mineral,straw,crisp,stainless steel,cool climate,pronounced,modern,zesty
